date,review,cleaned_review
06/2024,wiI7pd,wiipd
04/2024,"Lieu trs agrable, serveurs trs sympathiques et polie. Nous navons pas attendu longtemps pour tre servi!Ambiance trs agrable !",lieu trs agrable serveurs trs sympathiques et polie nous navons pas attendu longtemps pour tre serviambiance trs agrable
02/2024,"1 er novembre 14h30, Restaurant dgueulasse toutes les poubelles intext dbordaient a ne plus savoir o mettre son plateau et la vaisselle. La salle taient jonch de dchets, de flaques de soda. 20 minutes dattente pour avoir son",er novembre h restaurant dgueulasse toutes les poubelles intext dbordaient a ne plus savoir o mettre son plateau et la vaisselle la salle taient jonch de dchets de flaques de soda minutes dattente pour avoir son
02/2024,"Je vous conseille le Double cheese bacon  XXL, une tuerie. Lattente est longue oui et non quand on compare aux nombres de commande et aux nombres demploys finalement attendre 2035min est correcte.",je vous conseille le double cheese bacon xxl une tuerie lattente est longue oui et non quand on compare aux nombres de commande et aux nombres demploys finalement attendre min est correcte
02/2024,"On paye cher  pour un service dgueulasse, la nourriture est dgueulasse, les poubelles dgueulasse, sil vous plat. Si vous voulez faire plus dargent cest pas sur nous en moins Recruter plus parce que le restaurant il fait piti",on paye cher pour un service dgueulasse la nourriture est dgueulasse les poubelles dgueulasse sil vous plat si vous voulez faire plus dargent cest pas sur nous en moins recruter plus parce que le restaurant il fait piti
01/2024,"Livraison via lapplication burger king et il manquait 13 de la commande. 2 sandwichs sur 3, 1  extras type chili cheese sur 3, aucunes sauces sur 6, et des onions rings froids. La commande a t assez rapide mais si pour avoir a, nous aurions prfr attendre 5 ou 10 min de plus...",livraison via lapplication burger king et il manquait de la commande sandwichs sur extras type chili cheese sur aucunes sauces sur et des onions rings froids la commande a t assez rapide mais si pour avoir a nous aurions prfr attendre ou min de plus
06/2024,"ce nest pas la premire fois que je commande en click and collect dans ce burger king l et cest lune des rares fois ou jai eu de lattente si 10mn peuvent tre considres comme de lattente et un employ, Malik, sest excus du",ce nest pas la premire fois que je commande en click and collect dans ce burger king l et cest lune des rares fois ou jai eu de lattente si mn peuvent tre considres comme de lattente et un employ malik sest excus du
01/2024,"Exprience delivroo dplorable. Je ne recommande absolument pas cet tablissement en livraison.Menu arriv avec 1h de retard. Nourriture froide, sac dchir et boisson renverse dans le sac. Super les nuggets tremps de coca.",exprience delivroo dplorable je ne recommande absolument pas cet tablissement en livraisonmenu arriv avec h de retard nourriture froide sac dchir et boisson renverse dans le sac super les nuggets tremps de coca
08/2023,Franchement cest le premier BK que je trouve bon! Service assez rapide.Par contre note trs moyenne sur la sympathie des serveuses.Dommage que les glaces ntaient pas disponible.Je recommande les chvres chaud cest super bon.,franchement cest le premier bk que je trouve bon service assez rapidepar contre note trs moyenne sur la sympathie des serveusesdommage que les glaces ntaient pas disponibleje recommande les chvres chaud cest super bon
05/2024,"Cuisine hyper sale La personne ne travaille mme pas avec des gants Et la personne qui sert au comptoir toute seule compltement dborde pour un renseignement, il fallait attendre au moins 20 minutes. Le passage du service dhygine serait ncessaire Je nai jamais vu un fastfood aussi sale, je serai pas tonn quil y ait des souris",cuisine hyper sale la personne ne travaille mme pas avec des gants et la personne qui sert au comptoir toute seule compltement dborde pour un renseignement il fallait attendre au moins minutes le passage du service dhygine serait ncessaire je nai jamais vu un fastfood aussi sale je serai pas tonn quil y ait des souris
