date,review,cleaned_review
il y a 5 mois,"Équipe très sympa et joviale. Notre groupe d’amis s’est bien rempli la panse. Le menu étudiant nous a conquis. A très bientôt pour de nouveaux festoiements.
L’équipe du CARSEIDON alias « le poisson bus » 🐟🔱 …",equipe tres sympa et joviale notre groupe damis sest bien rempli la panse le menu etudiant nous a conquis a tres bientot pour de nouveaux festoiements lequipe du carseidon alias le poisson bus
il y a 2 mois,"degueulasse , en ouvrant mon burger la salade était marron comme si le burger datait de la veille et le goût n’était pas bon du tout . En plus de ca ils ne m’ont pas donné la bonne taille de tee shirt (menu one piece) à fuire si vous voulez pas faire une intoxication !!!",degueulasse en ouvrant mon burger la salade etait marron comme si le burger datait de la veille et le gout netait pas bon du tout en plus de ca ils ne mont pas donne la bonne taille de tee shirt menu one piece a fuire si vous voulez pas faire une intoxication
il y a 2 semaines,"Super moment au restaurant Burger King du Vieux-Port à Marseille merci à tata Mag qui nous a bien accompagné durant tout notre repas
Très très sympa comme employé du Burger King. Merci à elle et à toute l’équipe pour cette belle expérience.",super moment au restaurant burger king du vieuxport a marseille merci a tata mag qui nous a bien accompagne durant tout notre repas tres tres sympa comme employe du burger king merci a elle et a toute lequipe pour cette belle experience
il y a 6 mois,"Commande sur Uber eat, arrivée avec plus d’une heure de retard. Plus que froide, je ne donnerait pas ça à mon chien! Tout ira à la poubelle. Je précise que le livreur n’y est pour rien.",commande sur uber eat arrivee avec plus dune heure de retard plus que froide je ne donnerait pas ca a mon chien tout ira a la poubelle je precise que le livreur ny est pour rien
il y a 2 semaines,"Très bon franchisé en plein cœur du Vieux-Port.
Le service est toujours rapide, attention en été durant les périodes pleines, il peut y avoir de l’attente. …",tres bon franchise en plein coeur du vieuxport le service est toujours rapide attention en ete durant les periodes pleines il peut y avoir de lattente
il y a un an,"Déçu de ma visite dans ce Burger King.
Pas loin de 35 minutes d’attente pour avoir ma commande.
Un cruel manque d’organisation, des commandes tout juste passées honorées avant …",decu de ma visite dans ce burger king pas loin de minutes dattente pour avoir ma commande un cruel manque dorganisation des commandes tout juste passees honorees avant
il y a 3 jours,"Service très long. Erreurs sur la commande. La boisson avait chauffé, les frites avaient refroidi. Et un traitement des employés peu agréable, à la limite de l'impolitesse.",service tres long erreurs sur la commande la boisson avait chauffe les frites avaient refroidi et un traitement des employes peu agreable a la limite de limpolitesse
il y a 5 mois,"Un super lieu avec une cuisine extraordinaire.
Le service a été impeccable, une gentille nous a offert un deuxième puzzle !
En plus d’être beaux, ils n’ont pas été faciles à confectionner ce qui nous a bien occupé
Hmm Burger King",un super lieu avec une cuisine extraordinaire le service a ete impeccable une gentille nous a offert un deuxieme puzzle en plus detre beaux ils nont pas ete faciles a confectionner ce qui nous a bien occupe hmm burger king
il y a 5 mois,Pas mauvais j ai trouvé sa un peu cher,pas mauvais j ai trouve sa un peu cher
il y a 3 mois,Je viens d'être livré a l'instant 19h00 par Smail il me manque un burger alors que j'ai payé pour deux menus xxl,je viens detre livre a linstant h par smail il me manque un burger alors que jai paye pour deux menus xxl
