date,review
06/2024,wiI7pd
04/2024,"Lieu trs agrable, serveurs trs sympathiques et polie. Nous navons pas attendu longtemps pour tre servi!Ambiance trs agrable !"
02/2024,"1 er novembre 14h30, Restaurant dgueulasse toutes les poubelles intext dbordaient a ne plus savoir o mettre son plateau et la vaisselle. La salle taient jonch de dchets, de flaques de soda. 20 minutes dattente pour avoir son"
02/2024,"Je vous conseille le Double cheese bacon  XXL, une tuerie. Lattente est longue oui et non quand on compare aux nombres de commande et aux nombres demploys finalement attendre 2035min est correcte."
02/2024,"On paye cher  pour un service dgueulasse, la nourriture est dgueulasse, les poubelles dgueulasse, sil vous plat. Si vous voulez faire plus dargent cest pas sur nous en moins Recruter plus parce que le restaurant il fait piti"
01/2024,"Livraison via lapplication burger king et il manquait 13 de la commande. 2 sandwichs sur 3, 1  extras type chili cheese sur 3, aucunes sauces sur 6, et des onions rings froids. La commande a t assez rapide mais si pour avoir a, nous aurions prfr attendre 5 ou 10 min de plus..."
06/2024,"ce nest pas la premire fois que je commande en click and collect dans ce burger king l et cest lune des rares fois ou jai eu de lattente si 10mn peuvent tre considres comme de lattente et un employ, Malik, sest excus du"
01/2024,"Exprience delivroo dplorable. Je ne recommande absolument pas cet tablissement en livraison.Menu arriv avec 1h de retard. Nourriture froide, sac dchir et boisson renverse dans le sac. Super les nuggets tremps de coca."
08/2023,Franchement cest le premier BK que je trouve bon! Service assez rapide.Par contre note trs moyenne sur la sympathie des serveuses.Dommage que les glaces ntaient pas disponible.Je recommande les chvres chaud cest super bon.
05/2024,"Cuisine hyper sale La personne ne travaille mme pas avec des gants Et la personne qui sert au comptoir toute seule compltement dborde pour un renseignement, il fallait attendre au moins 20 minutes. Le passage du service dhygine serait ncessaire Je nai jamais vu un fastfood aussi sale, je serai pas tonn quil y ait des souris"
04/2024,"Horrible. Personnel incomptents et qui parle mal aux clients... Dernire fois que je mets les pieds ici. Cest sale, froid et pas trs bon. Oblig de faire le mnage de ma table... Erreur dans ma commande. un Comble !!! Fates demi tour sans hsitation"
06/2024,"Froid, sale et sans amabilit...Que se passetil ?!Arriv pour manger sur place, impossible de me connecter  mon compte fidlit,"
06/2024,"Service trs rapide.Mais lamabilit du personnel est  revoir.Jai pris deux moyennes frites, il ny a a peine une poigne de frites dans le sachet. Super pour le prix..."
02/2024,"Quand je suis arriv pour le djeuner, ctait super bond, et lquipe tait compltement dborde. Mon repas a fini par arriver aprs une longue attente dune heure, ce qui la rendu videmment froid. Ce ntait pas une exprience la plus"
04/2024,Commande jamais reueJai command mon menu en livraison depuis lapplication Burger King. Je nai jamais reu ma mon menu. Le livreur ma donn la mauvaise commande. Depuis jai
06/2024,Pour ma premire visite sur terre c le meilleur bk que jai jamais sur vivitopyapagnan ma plante incroyable les multiples offre de bk comme leur proposition a mettre un avis contre un caf gratuit mais je objectif
07/2023,"Venus en raison du partenariat avec le club de Hockey de Lyon qui offre 10 de rduction sur la note, la serveuse, un poil dsagrable, ma dit que a ne marchait pas car javais utilis des couronnes"
06/2024,Ils mont mis du vrai poulet dans mon burger veggieQuelle honte !
05/2024,"Vgtarienne depuis des annes, je commande un simple menu wrap chvre en livraison. Ils arrivent quand mme  me mettre un petit wrap poulet et bacon. Et bien sr, jen ai mang un morceau.."
06/2024,"Nous avons t servi trs rapidement, et le service tait trs agrable !Je le recommande !"
06/2024,Nourriture bonne mais froideMais service trs mal organis qui  pour consquence une attende interminable avec des manques jai d retourner 2 fois au comptoir pour 2 oubli de plus le
05/2024,"Un BK nest pas forcment un BK.Celuici fait figure dexception grce  son quipe sympathique et  son manager arrangeant,  lcoute et au service de ses clients. Merci pour le petit rab de"
04/2024,"Petit endroit sympa avant o aprs une petite balade o courses, promos. Parfois,  certaines heures, peu de monde  lintrieur ou en terrasse, cest cool et reposant..."
11/2023,"Le Burger king de confluence est trs bien, service relativement rapide, cela dpend de lheure  laquelle vous commandez.Un classique que je recommande."
06/2024,"Personnel  lcoute des clients, trs bon, lambiance est bien. Je recommande"
06/2024,Moment trs agrable en terrasse ! Service rapide et personnel agrable ! Je recommande !
06/2024,"Endroit sympathique, les serveurs sont supers ! Service rapide, je recommande"
12/2023,Malgr les normes affiches pour la formule tudiante offrant le mme burger que dans le menu pour seulement 2 de plus cest une publicit mensongre le manager a inform que le formule tudiante prvois uniquement une glace offerte
02/2024,"Mauvaise exprience pour notre part. Nous avons pris un menu enfant avec un jouet,  et quelle dception quand nous sommes rentrez chez nous pour lutiliser. Une bote VIDE sans jouet !"
04/2024,"Jai eu loccasion de discuter avec Malik, le manager du restaurant.Merci  lui pour son accueil et sa sympathie.Le restaurant est propre et toute lquipe est aux petits soins !"
06/2024,"En plus la qualit de BK toujours au top, service rapide et aimablePlus on ma offert une glace, je recommande"
04/2024,Rapide et bon. Les tables sont cependant souvent sales. a mrite de mettre une personne ddie au nettoyage des tables et du sol toute la journe.
04/2024,"Temps d attente long et non respect des spcifications donnes sur les burgers. Javais demand sans sauce  cause dintolrance il y avait de la sauce, je nai pas pu le manger, argent en lairLe brookie nest pas  la hauteur du prix"
04/2024,Commande passe via lapplication Uber Eats ce jour aux alentours de 16h10. La commande est arrive trs tardivement  18h09 changement de livreurs  deux reprises avec un gobelet en carton abm dans le fond. La boisson perce a inond
01/2024,"BonjourHabitant proche de ce Burger King, jai rgulirement loccasion de my rendre.Pourtant mes expriences y sont catastrophiques."
02/2024,Fastfood bond pour le djeuner.Il manque du personnel malgr que ceux prsents font leur maximum.Le dlai dattente est long et il manque des places assises.
03/2024,Une horreur sur 3 commandes en livraison 2 oublis dune partie de la commande et sur la dernire commande le sandwich command et Pay nest pas celui reu dans la commande. A la place dun double cheese Bacon XXL cest un cheeseburger qui
01/2024,Rupture de produits  pas de glace ni salade !. 25 minutes pour tre servi mais le dessert choisi pompote pour le menu enfant en rupture aussi malgr quil soit en choix aux bornes le seul  la place on nous propose une ptisserie bacs mis sur un comptoir  ct  dune poubelle !  Je ne reviendrai pas de si tt !
04/2024,"le manager Monsieur Malik  il sest bien occup de nous lui et cest son quipe ils sont trs chaleureux, souriant et bien accueillant heja le top le service je recommande"
01/2024,"Un accueil au top, jai t servie par lquipire Lena et je la remercie pour son amabilit et son dynamisme. Je recommande !!  si vous pouvez vous faire servir par elle cest encore mieux  ."
05/2024,"Servi rapidement, plats encore bien chaud, juste attention aux toilettes qui glissent  louverture mais parce quelles sont propres"
04/2024,Je vois dconseille de prendre Uber eats plus de 2h pour nous livrer cest une honte !!! Nous payons 10 euros de port pour ne pas avoir un service acceptable et en plus cest livr froid .Je ne suis pas prt de recommander .
06/2024,"Le concept de fast food n est en aucun cas prsent on est plus sur du long food, l organisation est vraiment absente"
01/2024,"Excellente exprience chez Burger King!! Franchement restaurant clean trs propre une ambiance trs agrable, je tiens  remercier Lna quipire au top du top  lcoute, souriante et hyper serviable elle fait attention  que tout se passe"
05/2024,Personnels trs agrable et serviable. Peu de place pour manger  table mais sinon rien  redire.
03/2024,Sympa avec les enfants. Qualit correct et ambiance sympa. Le service est correct aussi. Nous y allons rgulirement.
02/2024,Premirement je tiens  prciser que je suis matte de peau et je porte un hijab.Je suis actuellement  Burger King.
06/2024,"Bonjour je suis juste pass devant Vendredi, en allant  lglise vanglique...Je ny suis pas retourne pour y manger depuis 2 mois,on y retournera pour manger en Avril..."
06/2024,"Experience super cool et qualit tjr au rdv, aucun souci"
10/2023,"Jai command King Fusion Lion et le menu King Size avec Veggie Steakhouse sur UberEat. Jai reu a... cest le menu Mdium Size. Et le burger nest pas vgtarien... donc je ne peux pas le manger, en plus, je nai pas reu King Fusion Lion... je suis du..."
01/2024,"Trs clairement se restaurant burger king confluence, jusqu maintenant je ne peux pas conseiller mieux vous tes excellent  par la salle pas ouf mais les rush doivent tres compliqu bon directeur sociable envers la clientle les"
02/2024,"Les pires chili cheese mangs que jai mang.... Attente de 15 minutes pour 6 chilis, la fille seule et sans pression derrire alors que 3 htesses aux caisses devant. Manque de personnel en cuisine. La machine a sonn depuis 3 minutes, rsultat  chili surcuits, panure coeurante et dure... A fuir !"
04/2024,Un des meilleurs BK de la rgion ! Ractivit et sympathie du personnel. Merci  Malik pour son srieux et sa gentillesse.
06/2024,Ctait super et jai mang vraiment bien et ctait rapide
01/2024,"Je ne note pas la nourriture, Burger King ont connais mais alors le lieu en lui mme.Catastrophique dj dentre pas moyens de trouver une table  peu prs propre, ensuite des pigeons se balade et dfquent a lintrieurComme je suis"
03/2024,"Le service tait plus que loooooong ! Nous avons attendu plus de 45 minutes pour tre servis, cest la guerre pour avoir une table, le sol colle de partout... Pour payer en caisse, on peut attendre longtemps, personne ne nous regarde, il"
05/2024,"Service Trs rapide et magasin trs lumineux ! Le staff est souriant et trs aimable, merci pour a"
05/2024,Burger vege avec du vrai bacon dedans ? Inadmissible
01/2024,"Un des meilleurs fast food ou jai pu manger .Lieu super agrable ,nourriture top et les serveurs toujours trs agrable!Surtout une en particulier  Lena toujours de bonne humeur et avec le sourire ."
02/2024,Lamentable. A viter.45 min pour une commande. Allez au mc donald ou KFC. Lexcuse du responsable nous sommes que trois. Fuyez Burger King Confluence.MAJ la rponse de ce Burger King est lexemple du manque de service client et du jemenfoutisme de ce BK. Un copie coll des autres avis. Honteux
01/2024,"trs bon restaurant, accueil incroyable de lena qui a su nous faire passer un agrable moment grce  son talent inn sa gentillesse et sa gnrosit, elle mriterait une augmentation !"
06/2024,"En visite le 19 aot 2022 au alentour de 22h pour commander des glaces. Restaurant trs sale  avec une mauvaise odeur et   sol trs collant, dans l attende de notre commande nous voyons avec stupfactions que pratiquement aucune rgles d"
03/2024,Toujours sympa de venir manger ici aprs un cin ou des achats au centre commercial.Personnel trs accueillant
01/2024,"Trs bon service !Pas de problme, tout sest trs bien droul.Un petit plus pour lquipire Lna qui a t trs trs trs agrable."
12/2023,Fast food qui dpanne toujours quand on a faim  nimporte quelle heure. La terrasse est plus avenante et moins sale que par le pass. Les bornes ne fonctionnent toujours pas toutes. Dommage. Lintrieur fait toujours aussi sale ainsi que le WC. Il y a encore un peu de progrs  faire. Le service est ok et plutt rapide.
04/2024,"jai command en click and collect, au bout de 1h30 toujours pas servie, alors quil ny avait pas tant de monde que a et quand je suis all demand si ma commande arrivait bientt, on ma juste dit dattendre encore."
11/2023,"Cest Burger King est vraiment diffrent des autres, si vous commander sur place ne vous installer pas tout de suite, malheureusement ce Burger King ne fait pas de service directement  table ce qui est trs dommage. Les deux femmes"
04/2024,"Tu commandes sur leur appli, les livreurs marquent comme quoi cest livr, mais toi tu reois pas ta bouffe. Superlivreur  voleur"
03/2024,"Le pire burgee king de ma vie !Repas froid, 23min d attente, dsorganis, dsagrable, bref.Je n y remettrai jamais les pieds."
06/2024,"Je pense que la photo parle delle mme. Rajoutons le service client inexistant  jattends le remboursement dune commande depuis 2 mois sans aucune rponse du restaurant. Des erreurs en permanence, et des temps dattentes exceptionnellement long."
06/2024,"Servi trs vite, bon service"
12/2023,"Temp dattente plutt long, privilgiez celui de Vnissieux qui nest pas bien plus loin avec le priphrique, si vous tes press.Cependant, la qualit du fast food par rapport  ces conurent est toujours bien prsente."
03/2024,Vraiment trop de monde nous avons mang  ct de la porte dentre et cest vraiment pas top. La salle est trs petite
04/2024,Un grand merci  Malik le manager et toute son quipe pour son accueil et sa bienveillance. quipe au top
05/2024,Trs bon accueil de la part de Malik trs pro service rapide je recommande vivement
01/2024,Cela fait 2 fois que nous commander en livraison et nous attendons 1h30 avant de la recevoir cest inadmissible ! Nous avons appeler les livreur  chaque fois pour leur demander et ils nous rpondent quils sont bien au bk mais que la commande nest toujours pas prte !
06/2024,Le restaurant est bond une grande partie du temps et lattente est assez importante. Pour autant les commandes sont assez rapides et  il ne manque rien. Les employs sont rapides mais la charhe de travail norme et lam iance super bruyante !
01/2024,"je suis alle manger au burger king cette semaine, jai t trs agrablement servie et accueillie par lnala meilleure serveuse de la chane, dvoue et passionne, elle merite une prime."
05/2024,"Le service est nickel et un trs bon accueil de la part de Malik, allez l bas !"
05/2024,"Super employs, servi en 5minutes parfait pour prendre le train aprs.Merci !"
11/2023,"Jai pass ma commande  14h32 et, aprs 25 minutes dattente, il ny avait toujours aucun mouvement. Vers 15h, jai pos poliment une question au guichet concernant ma commande. La serveuse a rapidement prpar ce qui restait en stock,"
01/2024,Je mets car je peux pas mettre 0Verre mme a moiti remplitBurger manquants  me retrouve avec un truc veggie a 13  aulieu dune bonne viande
06/2024,"Exprience COVID parfaite Vous rentrez, une personne vous dsinfecte les mains et vous donne des gants."
06/2024,Super restaurant et trs bon service
01/2024,"Cela fait maintenant 1h50 que jattend ma commande et celleci nest mme pas encore en routeAucune explication, rien, cest honteux ! Le restaurant ntait pas joignable et ce malgr plusieurs tentatives et croyez moi que jai eu le temps den faire quelque uns"
04/2024,Les toilettes sont franchement mal entretenue et ce nest pas le monde quil y avait quand jy suis all qui les a empch de faire un peu le menage ...
04/2024,Le manager monsieur Malik et sont quipes sont trs chaleureux trs bonnes accueille trs souriant je recommande !
03/2024,La restauration rapide la plus lente que jai jamais vu!!! Comptez environ 30mn juste pour tre servi..
04/2024,Service rapide malgr une longue commande mais il peut tre assez bond parfois
01/2024,Service au top ! Mention  lquipire Lna qui tait trs efficace tout en tant accueillante avec les clients ! Je recommande
05/2024,"Trs bon, service rapide, tres bonne accueil et trs convivial"
06/2024,"Excellent burger veggie , avec de la roquette ,trs bonne sauce. Nicha a t trs accueillante et aimable pour notre service."
03/2024,Le nouveau burger veggie chicken louisiane est vraiment pas mal et le lieu est bien entretenu par contre jai limpression que la qualit  un petit peu baisse...
04/2024,Trs bon BKAttention aux heures de pointeServi rapidement
06/2024,ctait gnial ! trs rapide et trs bon
11/2023,Ce BK est le lieu parfait pour se restaurer aprs un tour dans Confluence. La qualit de la nourriture est au rendezvous et la salle est bien entretenue. Le service est galement de qualit jai bien t pris en charge aprs un dfaut a la borne de commande. Un trs bon fast food idalement situ en face du tram T1.  essayer !
06/2024,Jai bien aim ce Burger King car il y a beaucoup doptions pour le vgtariens .Je recommande vivement.
04/2024,"Trs bonne exprience, le service a t trs rapide et les erreurs sont trs sympa."
