date,review
il y a 5 mois,"Équipe très sympa et joviale. Notre groupe d’amis s’est bien rempli la panse. Le menu étudiant nous a conquis. A très bientôt pour de nouveaux festoiements.
L’équipe du CARSEIDON alias « le poisson bus » 🐟🔱 …"
il y a 2 mois,"degueulasse , en ouvrant mon burger la salade était marron comme si le burger datait de la veille et le goût n’était pas bon du tout . En plus de ca ils ne m’ont pas donné la bonne taille de tee shirt (menu one piece) à fuire si vous voulez pas faire une intoxication !!!"
il y a 2 semaines,"Super moment au restaurant Burger King du Vieux-Port à Marseille merci à tata Mag qui nous a bien accompagné durant tout notre repas
Très très sympa comme employé du Burger King. Merci à elle et à toute l’équipe pour cette belle expérience."
il y a 6 mois,"Commande sur Uber eat, arrivée avec plus d’une heure de retard. Plus que froide, je ne donnerait pas ça à mon chien! Tout ira à la poubelle. Je précise que le livreur n’y est pour rien."
il y a 2 semaines,"Très bon franchisé en plein cœur du Vieux-Port.
Le service est toujours rapide, attention en été durant les périodes pleines, il peut y avoir de l’attente. …"
il y a un an,"Déçu de ma visite dans ce Burger King.
Pas loin de 35 minutes d’attente pour avoir ma commande.
Un cruel manque d’organisation, des commandes tout juste passées honorées avant …"
il y a 3 jours,"Service très long. Erreurs sur la commande. La boisson avait chauffé, les frites avaient refroidi. Et un traitement des employés peu agréable, à la limite de l'impolitesse."
il y a 5 mois,"Un super lieu avec une cuisine extraordinaire.
Le service a été impeccable, une gentille nous a offert un deuxième puzzle !
En plus d’être beaux, ils n’ont pas été faciles à confectionner ce qui nous a bien occupé
Hmm Burger King"
il y a 5 mois,Pas mauvais j ai trouvé sa un peu cher
il y a 3 mois,Je viens d'être livré a l'instant 19h00 par Smail il me manque un burger alors que j'ai payé pour deux menus xxl
il y a un mois,"J'y vais souvent, de la nourriture délicieuse, bon marché, 5 euros suffisent pour manger savoureux et copieux, je ne vous conseille pas d'aller aux toilettes si vous ne voulez pas gâcher votre appétit, j'adore cet endroit, mais il y a beaucoup de lacunes... cafards"
il y a une semaine,Super accueil ! Installé et servi  à une belle table en terrasse. Merci beaucoup !  Merci tata Mag ! 🥰 …
il y a un an,"Le sourire de Mag, hôtesse d'accueil fait passer ma note de 1 étoile à 5 étoiles. Accueil au top. Personnel accueillant. Burger King quality 🍔🍟. 1er étage et 2è étage avec vue sur notre magnifique Lacydon unique. Venez ici vous serez …"
il y a 6 jours,Tres convivial. Tata Mag nous a très bien accueilli. Le service a été très rapide et c’était excellent
il y a 5 mois,"Je ne publie pas souvent mais la... Je me devais de le faire !
Le personnel est super agréable ! Un service hyper gentil..  ils accueillent directement tous les enfants qui entrent avec une couronne. Le service est vraiment digne d'un vrai restaurant !"
il y a un mois,"Les lieux ne sont pas très propre, le nettoyage des tables entre chaque client laisse à désirer.
Rapidité de service correct compte tenu qu’on était un groupe de 9 personnes et …"
il y a 2 mois,Une habituée quand je passe par le Vieux-Port pour dîner. Toujours satisfaite :)
il y a 3 mois,Très bon accueil et hospitalité un grand merci à Tata mag 🔥🔥 on revient vite …
il y a 2 mois,"Burger King à fuir !!!! Les m prétexte qu’il sont bien placée il y’a du monde  donc du coup il serve mal leur clients !!!! Sandwich froid , frite froide , le moelleux aux chocolat jeter avec les frites dans le sac !! Frite au chocolat il y avait dans le sac , vous dégoûtez plus jamais j’irai dans vos restaurant !!!  Ça fait 2 fois"
il y a 5 mois,"Avis : BK PUZZLE PAT PATROUILLE

Je viens de finir de construire le chef-d'oeuvre qu'est ce puzzle, et que dire …"
il y a un an,"L'accueil est très professionnels, chaleureux avec Dija et ses collègues. il y a une terrasse extérieure ainsi que 2 étages (avec ascenseur) où la vue est magnifique …"
il y a 3 semaines,Par livraison de ce jour Deliveroo  : Se n'est pas la faute du livreur ma boisson avec se verre en carton pas commode tout été renversé. Question aliments tous été froid et dégueulasse immangeable... C'est mieux MC DO OU QUICK...dernière fois pour 48 euros c'est du vol manifeste.
il y a 2 mois,"Les burgers sont très bons, le restaurant est idéalement placé, puis le personnel est adorable. Notamment ""Maguema"", toujours souriante, disponible, qui m'aide beaucoup à chaque fois (je suis en fauteuil roulant). Merci !"
il y a 3 mois,C'est un bon Burger King. Beaucoup de monde mais service hyper rapide.  Je suis pas fan de ces lieux mais j'étais avec mon neveu 😊😊. L'intérêt est quand même de pouvoir profiter de la terrasse ! Plein soleil en hiver face au vieux port. Pépère 😉 …
il y a une semaine,Merci très bon accueil je suis un client fidèle depuis quelque mois déjà
il y a une semaine,On a été super bien reçues!! Merci pour cet accueil hyper chaleureux!!
il y a 2 mois,"Malgret que je soit quelqu'un de très maladroit
Maguema a décidé très gentiment de nettoyer mon gobelet plein que j'ai renverser. …"
il y a une semaine,"Le service et rapide et les serveurs sont sympas le menus fantastique mais la musiques n'est pas de mon gout.
Bisous mes choubidous"
il y a une semaine,Accueil exceptionnel vraiment ! Vue magnifique et lieu très propre !
il y a un mois,"Très bonne expérience, des prix très corrects, un bon repas, un service clientèle impeccable grâce à Tata Mag’ qui est très gentille et bienveillante, très proche des clients. Merci et bonne année à elle."
il y a un an,"Un accueil très chalereux par Maguema, souriante et agréable !
Je recommande ce Burger King, propre et calme.
La vue depuis le deuxième étage est magnifique sur le port.
Foncez !"
il y a 6 jours,"Commande reçue parfaitement il ne manquait rien, l’ambiance est parfaite et gros big up à tata Mag"
