date,review
il y a un mois,"Les employés se sont trompés et m’ont mis un wrap au chèvre à la place d’un wrap au poulet, (produit auquel je suis mortellement allergique) j’ai du faire un aller retour à l’hôpital car je n’avais pas mes médicaments sur moi. C’est inacceptable de la part d’une aussi grosse chaîne de restauration rapide."
il y a une semaine,"Un service très sympathique et rapide, repas qui cale bien et qui est très bon. J'ai passé un bon moment entre amis. Seul bémol, restaurant plutôt petit malgré sa proximité avec deux universités."
il y a 2 mois,Ne commandez surtout pas à emporter ou en livraison !!! 2/3 burgers rassis. Tomate en purée et salade molle/fondue. Comme si les sandwichs avaient été conservés sous la chaleur depuis des heures. Boissons sans gaz avec un goût d’eau …
il y a 4 jours,"Bon moment passé avec mes amis, auxquels je tiens plus que tout. Bon menu et bonne sauce 1954, dommage que je n’apprécie pas le pain du burger autant que son contenu, il s’émietter en bouche et est un peu sec. En dehors de tout ça le service et le restaurant sont impeccable."
il y a 6 mois,Un burger king situé à côté du pont de Bercy. La bouffe est dans la moyenne (pour ne pas dire en dessous de la moyenne). Le restaurant est plutôt tranquille la nuit. …
il y a 9 mois,Super Restaurant ! Personnel Serviable et au taquet ! Le service était rapide 🫱🏻‍🫲🏾 …
il y a un mois,"Bon Burger King dans l'ensemble, le service était rapide malgré la longue queue pour accéder aux bornes ! …"
il y a 10 mois,"Quelle honte !Très fort en communication, d'accord, mais en service client sur place pas du tout !
Je suis allé voir les deux personnes au comptoir pour les informer en ouvrant …"
il y a un mois,"Que dire de cette expérience. Début de commande à 0h30, une seule borne de disponible pour commander car je cite « on ferme à 2 heure donc on coupe les bornes plus tôt » du monde à attendre et impossibilité d’ouvrir une caisse. …"
il y a une semaine,"Malheureusement ils ne font pas assez attention à la fraîcheur des produits servit, il m'arrive souvent de devoir retourner les voir pour leur en informer. Ce n'est qu'à ce moment-là qu'ils vous servent correctement des produits vraiment …"
il y a 2 mois,"J'y vais avec ma fille et ses 2 enfants. Ils peuvent jouer et nous on peut papauter. On prend le temps de manger, chacun a son rythme. Et vivement les beaux jours pour manger sur la terrasse. L'équipe est sympa et on est servi rapidement. Merci."
il y a un mois,"J’ai trop aimée le menu à 5,80€ c’est géniale pour les étudiants et ça rassasie vraiment ! Le restaurant est remplie mais il y a de la place même en heure de pointe donc ça aussi c’est cool."
il y a une semaine,"On rentre dans le restaurant, altercation avec un employé et un client qui finit dehors, de plus le service était extrêmement lent alors que nous étions quasi seuls dans le burger king, celui de ma ville plein à chaque fois sert plus vite …"
il y a 7 mois,"Service très rapide et personnel aimable, l'endroit est propre et chaleureux. Rien à redire!"
il y a 5 mois,"Très bonne expérience, service rapide malgré le monde."
il y a 2 semaines,"Très bon restaurant. Service rapide, endroit très calme et nourriture très savoureuse. Je recommande"
il y a 21 heures,"Moment très convivial entre amis, service rapide"
il y a 7 mois,"Tout d’abord ! J’ai eu le plaisir de croquer du plastique dans ma glace, qui provenant très certainement d’une machine…. ! ( a éviter car pas très bon et j’ai failli m’étouffer) …"
il y a 3 mois,Ils ont fait une erreur sur ma commande et on était très gentil il m’ont offert une glace l’erreur est humaine merci à l’équipe
il y a 2 jours,Nous avons été servis rapidement malgré le grand monde. Je conseille après un long voyage
il y a 3 mois,"Tout simplement catastrophique, un petit rush super mal géré, des équipiers perdu, faisant leur tâche dans des ordres incompréhensibles, mettant chaud avant froid, faisant la commande avant règlement, 20 minutes d’attente pour être servis, …"
il y a 6 jours,"Super Accueil ! commande rapide, très propre et personnel agréable."
il y a 11 mois,"Les burger sont bonnes, mais il y'a trop peu de personnel! Pas bien organiser et Les toilletes et le salle de manger ne sont pas propre! Les mashines automates façilite le boulot lorsque il y'a beaucoup de monde. J'espère de vois plus de progrès dans mon prochaine visite, merci l'équipe Burger King"
il y a 3 mois,"Attente super longue, et 2,30 € pour ça... la honte ! Il manque pas du fromage et du bacon la ??"
il y a 4 semaines,Je n’ai jamais eu de problème concernant ma commande le contenu de ma commande ou le temps d’attente ! Tout a toujours été fait rapidement et je m’y rends assez fréquemment donc je suis satisfaite voire très satisfaite de mon service
il y a une semaine,"Très accueillant ! Service rapide et chaleureux, je vous recommande vivement !"
il y a 2 mois,"Nous sommes 4 à commander à emporter, 3 servis et moi j'attends, j'attends, quand je demande ma commande on me dit d’un air très malaimable qu'elle est là depuis 10 minutes et que je n'ai pas répondu sauf que j'étais juste devant et je ne …"
il y a 3 mois,Un BK classique d'apparence mais l'état de l'entretien des lieux est déplorable ! Les toilettes étaient dans un état de délabrement absolu! On se demande comment le manager gère ses employés... En tous cas merci pour les clients !
il y a 7 mois,"Une glace chez BK et ça repart ! Bien situé, on apprécie la pause pendant la balade."
il y a un an,Manque d’hygiène effrayant. Le personnel est d’une lenteur hallucinante. On a reçu la moitié de notre plateau froid.
il y a 2 jours,même en arrivant à 15 on a était servi en l’espace de 10 min même pas avec un repas qui rempli le ventre excellent merci bk
il y a un an,"Alors, au vu de la note globale,  je ne sais pas si je suis tombé au pire moment de la semaine (un samedi à 1h du matin) mais ce Burger King est indigne de l'enseigne... …"
il y a 4 semaines,Nous avons été très bien accueilli pour Sarah. L’ambiance était sympa. La nourriture était chaude. Super expérience !
il y a 2 mois,"Service bancale, pas des serviettes il faut se déplacer pour aller chercher les serviettes"
il y a 4 mois,"Un peu petit, mais j'ai eu la chance de tomber sur du personnel très agréable.
Je ne m'attendais pas à du personnel gentil et souriant (surtout en région parisienne) ! Excellente surprise !"
il y a une semaine,"No joke Sarah si tu vois cet avis j’ai besoin de ton numéro tu étais jolie 😭
Tu te rappellera jamais de qui je suis maisss grâce à toi j’ai eu un cheeseburger gratuit et toutt …"
il y a 2 jours,"Nous avons été bien accueilli,  la nourriture est bien faite et les frites sont bonnes !"
il y a une semaine,Service respectable produits frais délicieux fille d'attente assez courte
il y a 2 jours,"Très bon dans l’ensemble.
Je vous conseil de venir y faire un tour."
il y a un mois,"Service rapide est efficace malgré le monde. Bravo
Et une employée qui s'appelle Tiziri, Très serviable et souriante"
il y a un mois,"Il y avait un problème de gaz et il n'y avait plus de glaçons, cela ne gêne pas ce BK à continuer à servir des sodas qui ne ressemblent à rien... Si j'avais besoin d'une eau sucrée, je serais resté chez moi. Les employés restent impassibles …"
il y a 2 mois,"C’est dommage, toutes les boites Memory de Playmobil ont été ouverte pour trouver la pièce d’or. Du coup les boîtes sont abîmées et les cartes ne sont même pas remise correctement J’ai moi-même vu le personnel ouvrir toutes les boites"
il y a un mois,"Très bonne expérience, j'ai été très satisfait de manger chez le roi du burger, qui reste à mon humble avis, le meilleur fast food que peut trouver sur les bords de la Seine accessible proche de la gare. Très agréable pour attendre son train ou son bus."
il y a un mois,"Service rapide malgré le monde. J’ai été bien reçue par une employée qui s’appelle TIZIRI, qui était très serviable et souriante. Merci à elle."
il y a une semaine,"Super accueil, personnel très agréable ! Propreté impeccable"
